precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad,calle,colonia,alcaldia
27000," Río Tiber 56,  Cuauhtémoc, Cuauhtémoc",9021,90,2,1,1,2.0, Río Tiber 56, Cuauhtémoc,Cuauhtémoc
16000," HUIZACHES # ,  Ex Hacienda San Juan de Dios, Tlalpan",9322,2,2,2,2,14.0, HUIZACHES # , Ex Hacienda San Juan de Dios,Tlalpan
40000," Av. Ejercito Nacional Mexicano,  Polanco, Miguel Hidalgo",11512,2,2,1,1,1.0, Av. Ejercito Nacional Mexicano, Polanco,Miguel Hidalgo
13500," Zotitla ,  Abdias Garcia Soto, Cuajimalpa de Morelos",5512,1,2,1,1,1.0, Zotitla , Abdias Garcia Soto,Cuajimalpa de Morelos
85000," Bosques de la reforma 1592,  Bosques de las Lomas, Cuajimalpa de Morelos",43033,3,3,3,3,1.0, Bosques de la reforma 1592, Bosques de las Lomas,Cuajimalpa de Morelos
65000," Séneca 510,  Polanco, Miguel Hidalgo",18531,185,2,1,1,3.0, Séneca 510, Polanco,Miguel Hidalgo
45000," THIERS,  Anzures, Miguel Hidalgo",13022,2,2,2,2,1.0, THIERS, Anzures,Miguel Hidalgo
27000," Calle Río Tiber 100,  Cuauhtémoc, Cuauhtémoc",8621,86,2,1,1,2.0, Calle Río Tiber 100, Cuauhtémoc,Cuauhtémoc
16500," Floresta ,  Recreo, Azcapotzalco",12542,125,3,2,2,4.0, Floresta , Recreo,Azcapotzalco
36000," Miguel de Cervantes Saavedra 388,  Irrigación, Miguel Hidalgo",11022,110,2,2,2,2.0, Miguel de Cervantes Saavedra 388, Irrigación,Miguel Hidalgo
59000," Juan de la barrera,  Condesa, Cuauhtémoc",10021,2,1,2,2,1.0, Juan de la barrera, Condesa,Cuauhtémoc
43000," Life Condesa,  Hipódromo Condesa, Cuauhtémoc",12822,128,2,2,2,2.0, Life Condesa, Hipódromo Condesa,Cuauhtémoc
25500," chicontepec 5,  Hipódromo Condesa, Cuauhtémoc",11531,115,2,1,1,3.0, chicontepec 5, Hipódromo Condesa,Cuauhtémoc
24000," puerto méxico,  Roma Sur, Cuauhtémoc",12532,125,3,2,2,3.0, puerto méxico, Roma Sur,Cuauhtémoc
26500," Cádiz  101,  Insurgentes Mixcoac, Benito Juárez",14631,146,2,1,1,3.0, Cádiz  101, Insurgentes Mixcoac,Benito Juárez
51000," Chicontepec  57,  Hipódromo Condesa, Cuauhtémoc",9522,95,2,2,2,2.0, Chicontepec  57, Hipódromo Condesa,Cuauhtémoc
25000," Av. Col. Del Valle 413,  Del Valle Centro, Benito Juárez",9331,93,2,1,1,3.0, Av. Col. Del Valle 413, Del Valle Centro,Benito Juárez
6750000," Carretera mexico Toluca 5804,  Contadero, Cuajimalpa de Morelos",12522,125,2,2,2,2.0, Carretera mexico Toluca 5804, Contadero,Cuajimalpa de Morelos
36000," Paseo de Tamarindos  ,  Bosques de las Lomas, Cuajimalpa de Morelos",22033,220,4,3,3,3.0, Paseo de Tamarindos  , Bosques de las Lomas,Cuajimalpa de Morelos
62000," CARRETERA MEXICO TOLUCA # - ,  Bosques de las Lomas, Cuajimalpa de Morelos",23634,4,4,3,3,, CARRETERA MEXICO TOLUCA # - , Bosques de las Lomas,Cuajimalpa de Morelos
35000," av tecamachalco ,  Reforma Social, Miguel Hidalgo",11012,1,2,1,1,1.0, av tecamachalco , Reforma Social,Miguel Hidalgo
26000," Rio Tíber 56,  Cuauhtémoc, Cuauhtémoc",9021,90,2,1,1,2.0, Rio Tíber 56, Cuauhtémoc,Cuauhtémoc
9800000," Antonio Dovali Jaime 115,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",19832,3,2,3,3,12.0, Antonio Dovali Jaime 115, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
27000," Sinaloa,  Roma Norte, Cuauhtémoc",5511,55,1,1,1,1.0, Sinaloa, Roma Norte,Cuauhtémoc
46000," Río Churubusco 601,  Xoco, Benito Juárez",12522,125,2,2,2,2.0, Río Churubusco 601, Xoco,Benito Juárez
110000," Avenida Santa Fe 546,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",27534,4,4,3,3,1.0, Avenida Santa Fe 546, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
32500," Chicontepec s/n,  Condesa, Cuauhtémoc",8022,80,2,2,2,2.0, Chicontepec s/n, Condesa,Cuauhtémoc
5769139," Carretera Mexico-Toluca 5228,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",7011,70,1,1,1,1.0, Carretera Mexico-Toluca 5228, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
24000," Sierra Gorda 37,  Lomas de Chapultepec, Miguel Hidalgo",13022,130,2,2,2,2.0, Sierra Gorda 37, Lomas de Chapultepec,Miguel Hidalgo
18000," PORTALES ,  Portales Norte, Benito Juárez",9032,2,2,3,3,10.0, PORTALES , Portales Norte,Benito Juárez
24000," Corina 111,  Del Carmen, Coyoacán",12031,120,2,1,1,3.0, Corina 111, Del Carmen,Coyoacán
38000," Carretera Mexico Toluca ,  Cooperativa Palo Alto, Cuajimalpa de Morelos",13833,3,3,3,3,1.0, Carretera Mexico Toluca , Cooperativa Palo Alto,Cuajimalpa de Morelos
17000," AVENIDA RIO MIXCOAC  INSURGENTES MIXCOAC ,  Insurgentes Mixcoac, Benito Juárez",6912,69,1,2,2,1.0, AVENIDA RIO MIXCOAC  INSURGENTES MIXCOAC , Insurgentes Mixcoac,Benito Juárez
4200016," Lago Zurich ,  Ampliación Granada, Miguel Hidalgo",13923,139,2,3,3,2.0, Lago Zurich , Ampliación Granada,Miguel Hidalgo
37000," Retorno de Julieta 11-,  Lomas de Bezares, Miguel Hidalgo",25633,256,3,3,3,3.0, Retorno de Julieta 11-, Lomas de Bezares,Miguel Hidalgo
18000," AV. CUITLAHUAC 3405,  Nueva Santa Maria, Azcapotzalco",9531,95,2,1,1,3.0, AV. CUITLAHUAC 3405, Nueva Santa Maria,Azcapotzalco
