precio,ubicacion,tamanio,direccion,colonia,alcaldia
40000," Av. tamaulipas ,  Condesa, Cuauhtémoc",40, Av. tamaulipas ,  Condesa, Cuauhtémoc
37000," Isabel la Catolica,  Obrera, Cuauhtémoc",40, Isabel la Catolica,  Obrera, Cuauhtémoc
15000," FABRICA DE CARTUCHOS 9,  Lomas del Chamizal, Cuajimalpa de Morelos",281, FABRICA DE CARTUCHOS 9,  Lomas del Chamizal, Cuajimalpa de Morelos
6500," Bokobá 200,  Pedregal de San Nicolás, Tlalpan",30, Bokobá 200,  Pedregal de San Nicolás, Tlalpan
18371," Tuxpan 10,  Roma Sur, Cuauhtémoc",751, Tuxpan 10,  Roma Sur, Cuauhtémoc
16000," INSURGENTES SUR -B COL GPE INN,  Guadalupe Inn, Alvaro Obregón",16, INSURGENTES SUR -B COL GPE INN,  Guadalupe Inn, Alvaro Obregón
33220," Plaza San Jacinto,  San Ángel, Alvaro Obregón",32, Plaza San Jacinto,  San Ángel, Alvaro Obregón
8340," Av. Henry Ford ,  Bondojito, Gustavo A. Madero",24, Av. Henry Ford ,  Bondojito, Gustavo A. Madero
9380," Insrugentes sur al 4200,  Santa Úrsula Xitla, Tlalpan",12, Insrugentes sur al 4200,  Santa Úrsula Xitla, Tlalpan
14300," Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",28, Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan
20000," AV REVOLUCION,  Santa María Nonoalco, Benito Juárez",26, AV REVOLUCION,  Santa María Nonoalco, Benito Juárez
27000," Excelente Local en Carr. Picacho-ajusco 793, Héroes de Padierna, Tlalpan,  Héroes de Padierna, Tlalpan",71, Excelente Local en Carr. Picacho-ajusco 793, Héroes de Padierna," Tlalpan,  Héroes de Padierna, Tlalpan"
27000," Amores ,  Del Valle Norte, Benito Juárez",75, Amores ,  Del Valle Norte, Benito Juárez
7500," JOSE MARIA MORELOS,  Miguel Hidalgo 1A Seccion, Tlalpan",25, JOSE MARIA MORELOS,  Miguel Hidalgo 1A Seccion, Tlalpan
16000," Lateral Autopista México - Toluca,  Santa Fe, Alvaro Obregón",7, Lateral Autopista México - Toluca,  Santa Fe, Alvaro Obregón
38000," Renta de Local en Colonia Del Valle,  Del Valle Sur, Benito Juárez",57, Renta de Local en Colonia Del Valle,  Del Valle Sur, Benito Juárez
21000," División del Norte,  San Pablo Tepetlapa, Coyoacán",50, División del Norte,  San Pablo Tepetlapa, Coyoacán
9500," AV. SAN JERONIMO,  Tizapan, Alvaro Obregón",10, AV. SAN JERONIMO,  Tizapan, Alvaro Obregón
12000," NORTE ,  Industrial, Gustavo A. Madero",28, NORTE ,  Industrial, Gustavo A. Madero
8000," manuel payno 123,  Obrera, Cuauhtémoc",40, manuel payno 123,  Obrera, Cuauhtémoc
7500," Isabel la Catolica,  Niños Héroes, Benito Juárez",121, Isabel la Catolica,  Niños Héroes, Benito Juárez
5500," Oriente 253 108,  Agrícola Oriental, Iztacalco",8, Oriente 253 108,  Agrícola Oriental, Iztacalco
9000," Norte ,  Industrial, Gustavo A. Madero",28, Norte ,  Industrial, Gustavo A. Madero
